origin,destination,aircraft_type,distance_km,fuel_consumption_kg
ENTEBBE,NAIROBI,Boeing 737-800,500,1800
ENTEBBE,NAIROBI,Airbus A320,500,1750
ENTEBBE,NAIROBI,Embraer E190,500,1550
ENTEBBE,NAIROBI,ATR 72-600,500,1250
NAIROBI,DAR ES SALAAM,Boeing 737-800,430,1600
NAIROBI,DAR ES SALAAM,Airbus A320,430,1520
NAIROBI,DAR ES SALAAM,ATR 72-600,430,980
NAIROBI,PARIS,Boeing 737-800,6200,22000
NAIROBI,PARIS,Airbus A320,6200,21500
NAIROBI,PARIS,ATR 72-600,6200,18000
NAIROBI,LONDON,Boeing 737-800,6800,24000
NAIROBI,LONDON,Airbus A320,6800,23500
JOHANNESBURG,CAPE TOWN,Boeing 737-800,1270,4200
JOHANNESBURG,CAPE TOWN,Airbus A320,1270,4050
JOHANNESBURG,CAPE TOWN,Boeing 787-8,1270,3900
JOHANNESBURG,CAPE TOWN,ATR 72-600,1270,3000
LONDON,PARIS,Airbus A320,340,1200
LONDON,PARIS,Boeing 737-800,340,1250
LONDON,PARIS,Airbus A220-300,340,950
LONDON,PARIS,ATR 72-600,340,800
NEW YORK,WASHINGTON,Boeing 737-800,330,1180
NEW YORK,WASHINGTON,Airbus A320,330,1140
NEW YORK,WASHINGTON,Embraer E190,330,890
NEW YORK,WASHINGTON,ATR 72-600,330,780
LONDON,DAR ES SALAAM,Boeing 737-800,7300,25000
LONDON,DAR ES SALAAM,Airbus A320,7300,24500
LONDON,DAR ES SALAAM,Boeing 787-8,7300,22000
LONDON,DAR ES SALAAM,ATR 72-600,7300,20000
LONDON,NAIROBI,Boeing 737-800,6800,23000
LONDON,NAIROBI,Airbus A320,6800,22500
LONDON,NAIROBI,ATR 72-600,6800,19000
PARIS,NAIROBI,Boeing 737-800,6200,22000
PARIS,NAIROBI,Airbus A320,6200,21500
PARIS,NAIROBI,ATR 72-600,6200,18000
NAIROBI,NEW YORK,Boeing 737-800,11700,42000
NAIROBI,NEW YORK,Airbus A320,11700,41000
NAIROBI,NEW YORK,Boeing 787-8,11700,38000
DAR ES SALAAM,PARIS,Boeing 737-800,7000,24500
DAR ES SALAAM,PARIS,Airbus A320,7000,24000
DAR ES SALAAM,PARIS,ATR 72-600,7000,19500
NEW YORK,PARIS,Boeing 737-800,5850,20500
NEW YORK,PARIS,Airbus A320,5850,20000
NEW YORK,PARIS,Boeing 787-8,5850,18500
NEW YORK,PARIS,ATR 72-600,5850,16000
NEW YORK,LONDON,Boeing 737-800,5550,19500
NEW YORK,LONDON,Airbus A320,5550,19000
NEW YORK,LONDON,Boeing 787-8,5550,17500
PARIS,NEW YORK,Boeing 737-800,5850,20500
PARIS,NEW YORK,Airbus A320,5850,20000
PARIS,NEW YORK,Boeing 787-8,5850,18500
ENTEBBE,PARIS,Boeing 737-800,5900,21000
ENTEBBE,PARIS,Airbus A320,5900,20500
ENTEBBE,PARIS,Boeing 787-8,5900,19000
ENTEBBE,PARIS,ATR 72-600,5900,17000
ENTEBBE,LONDON,Boeing 737-800,6500,22500
ENTEBBE,LONDON,Airbus A320,6500,22000
ENTEBBE,LONDON,Boeing 787-8,6500,20000
PARIS,ENTEBBE,Boeing 737-800,5900,21000
PARIS,ENTEBBE,Airbus A320,5900,20500
PARIS,ENTEBBE,ATR 72-600,5900,17000
ENTEBBE,NEW YORK,Boeing 737-800,11500,41000
ENTEBBE,NEW YORK,Airbus A320,11500,40000
ENTEBBE,NEW YORK,Boeing 787-8,11500,37500
